date,price,timestamp,num_nodes,num_edges,density,reciprocity,assortativity,motifs_randesu_no,transitivity
18/8/21,3013.52,1629169207,75174,102130,1.81E-05,0.005796534,-0.261110574,70557981,0.000197046
19/8/21,3184.74,1629255607,485635,753550,3.20E-06,0.012798089,-0.222419088,-839555945,4.68E-05
20/8/21,3286.5,1629342007,529810,813946,2.90E-06,0.01334978,-0.219158903,102370248,4.32E-05
21/8/21,3226.59,1629428407,521212,809574,2.98E-06,0.013780087,-0.219743149,-80142658,4.07E-05
22/8/21,3241.65,1629514807,492571,768529,3.17E-06,0.012574672,-0.223012721,-450715716,4.49E-05
23/8/21,3322.71,1629601207,466675,740055,3.40E-06,0.011499145,-0.231854328,-703279917,4.35E-05
24/8/21,3172.57,1629687607,495561,777295,3.17E-06,0.013621598,-0.208327871,-693490010,4.93E-05
25/8/21,3228.86,1629774007,474791,748969,3.32E-06,0.01313806,-0.226115857,-595579241,4.86E-05
26/8/21,3093.62,1629860407,456133,729455,3.51E-06,0.014035136,-0.220114269,-694396466,5.12E-05
27/8/21,3275.87,1629946807,445493,710984,3.58E-06,0.013088902,-0.224140482,-962148986,4.71E-05
28/8/21,3246.78,1630033207,442873,696438,3.55E-06,0.01370402,-0.227311404,-1187314470,5.09E-05
29/8/21,3225.3,1630119607,456122,729187,3.50E-06,0.013066607,-0.234538941,-933611779,5.46E-05
30/8/21,3228.46,1630206007,444062,718276,3.64E-06,0.012524434,-0.232794053,-1037003041,4.93E-05
31/8/21,3435.17,1630292407,471088,745967,3.36E-06,0.012257915,-0.223268215,-725918016,4.81E-05
1/9/21,3829.18,1630378807,495122,762859,3.11E-06,0.012107087,-0.220407733,-786206155,4.89E-05
2/9/21,3787.7,1630465207,520336,795937,2.94E-06,0.013943315,-0.227208215,-435814684,5.04E-05
3/9/21,3939.79,1630551607,509066,772223,2.98E-06,0.015189913,-0.224555888,-658075426,5.14E-05
4/9/21,3887.01,1630638007,456837,707708,3.39E-06,0.016323116,-0.223373944,-1428270030,5.39E-05
5/9/21,3952.33,1630724407,483447,737900,3.16E-06,0.013053259,-0.250293161,-1204071744,4.68E-05
6/9/21,3928.4,1630810807,451610,700447,3.43E-06,0.012306427,-0.22753829,-1537746844,5.37E-05
7/9/21,3433.48,1630897207,495208,754024,3.07E-06,0.013877542,-0.219791718,-1057994365,3.96E-05
8/9/21,3499.69,1630983607,513469,781870,2.97E-06,0.018957116,-0.214537031,-728966298,5.04E-05
9/9/21,3424.24,1631070007,472788,736756,3.30E-06,0.016626943,-0.232100852,-1212513137,6.20E-05
10/9/21,3209.41,1631156407,492838,769130,3.17E-06,0.016990626,-0.216214891,-1126411355,5.70E-05
11/9/21,3266.43,1631242807,533424,805486,2.83E-06,0.01338819,-0.221149216,-356070567,4.65E-05
12/9/21,3405.32,1631329207,583455,870426,2.56E-06,0.010755653,-0.216514118,1267103524,3.33E-05
13/9/21,3285.4,1631415607,509164,793512,3.06E-06,0.018000988,-0.219532197,-450740626,4.40E-05
14/9/21,3436.05,1631502007,598850,863295,2.41E-06,0.012280854,-0.153922762,2062256973,1.45E-05
15/9/21,3615.22,1631588407,536207,812408,2.83E-06,0.012262312,-0.213968725,126706387,3.44E-05
16/9/21,3569.26,1631674807,515791,787863,2.96E-06,0.013360191,-0.215151332,-815802832,4.64E-05
17/9/21,3398.82,1631761207,506571,787377,3.07E-06,0.013238893,-0.213932484,-862182429,4.81E-05
18/9/21,3435.76,1631847607,474368,743146,3.30E-06,0.012089145,-0.175602559,-548485876,4.52E-05
19/9/21,3328.85,1631934007,485575,762530,3.23E-06,0.011367422,-0.211272988,-605269829,4.53E-05
20/9/21,2966.51,1632020407,460012,730294,3.45E-06,0.013761581,-0.209130369,-731227725,4.58E-05
21/9/21,2760.2,1632106807,458983,723022,3.43E-06,0.014657922,-0.21557555,-1049954784,4.50E-05
22/9/21,3078.88,1632193207,492116,767364,3.17E-06,0.012945616,-0.236786871,-450987485,4.13E-05
23/9/21,3154.62,1632279607,475429,745398,3.30E-06,0.011295979,-0.213115997,-835868095,4.35E-05
24/9/21,2930.86,1632366007,498554,793937,3.19E-06,0.013489735,-0.225671177,-653254694,4.58E-05
25/9/21,2925.34,1632452407,452120,714494,3.50E-06,0.011871338,-0.212549353,-1079421033,4.86E-05
26/9/21,3064.21,1632538807,462649,731327,3.42E-06,0.010069367,-0.202562936,-820101338,4.09E-05
27/9/21,2927.73,1632625207,425637,671866,3.71E-06,0.01124629,-0.199662002,-1712344372,5.08E-05
28/9/21,2807.44,1632711607,450925,720680,3.54E-06,0.016598213,-0.206317868,-1228585706,4.74E-05
